Sno,Region,State / Union Territory,Population,Rural population,Urban population,Area,Gender Ratio
1,North,Uttar Pradesh,199812341,155317278,44495063,"240,928 km2",912
2,West,Maharashtra,112374333,61556074,50818259,"307,713 km2",929
3,North,Bihar,104099452,92341436,11758016,"94,163 km2",918
4,East,West Bengal,91276115,62183113,29093002,"88,752 km2",953
5,Cntral,Madhya Pradesh,72626809,52557404,20069405,"308,245 km2",931
6,South,Tamil Nadu,72147030,37229590,34917440,"130,058 km2",996
7,North,Rajasthan,68548437,51500352,17048085,"342,239 km2",928
8,South,Karnataka,61095297,37469335,23625962,"191,791 km2",973
9,West,Gujarat,60439692,34694609,25745083,"196,024 km2",919
10,South,Andhra Pradesh,49577103,34966693,14610410,"162,968 km2",993
11,East,Odisha,41974218,34970562,7003656,"155,707 km2",979
12,South,Telengana,35003674,21395009,13608665,"112,077 km2",988
13,South,Kerala,33406061,17471135,15934926,"38,863 km2",1084
14,Central,Jharkhand,32988134,25055073,7933061,"79,714 km2",948
15,Noth East,Assam,31205576,26807034,4398542,"78,438 km2",954
16,North,Punjab,27743338,17344192,10399146,"50,362 km2",895
17,Central,Chhattisgarh,25545198,19607961,5937237,"135,191 km2",991
18,North,Haryana,25351462,16509359,8842103,"44,212 km2",879
19,North,Uttarakhand,10086292,7036954,3049338,"53,483 km2",963
20,North,Himachal Pradesh,6864602,6176050,688552,"55,673 km2",972
21,Noth East,Tripura,3673917,2712464,961453,"10,486 km2",960
22,Noth East,Meghalaya,2966889,2371439,595450,"22,429 km2",989
23,Noth East,Manipur,2570390,1793875,776515,"22,327 km2",992
24,Noth East,Nagaland,1978502,1407536,570966,"16,579 km2",931
25,West,Goa,1458545,551731,906814,"3,702 km2",973
26,Noth East,Arunachal Pradesh,1383727,1066358,317369,"83,743 km2",938
27,Noth East,Mizoram,1097206,525435,571771,"21,081 km2",976
28,Noth East,Sikkim,610577,456999,153578,"7,096 km2",890
29,North,Delhi,16787941,419042,16368899,"1,484 km2",868
30,North,Jammu and Kashmir,12267032,9064220,3202812,"125,535 km2",890
31,South,Puducherry,1247953,395200,852753,479 km2,1037
32,North,Chandigarh,1055450,28991,1026459,114 km2,818
33,West,Dadra and Nagar Haveli and Daman and Diu,585764,243510,342254,603 km2,711
34,South,Andaman and Nicobar Islands,380581,237093,143488,"8,249 km2",876
35,North,Ladakh,274000,43840,230160,"96,701 km2",853
36,South,Lakshadweep,64473,14141,50332,32 km2,946
